ov_long;ov_short;Tallinn;Tartu;Sum;lat;lon
Vaike-Maarja;Vaike-Maarja;63;54;117;59.0453;26.3914
Laekvere;Laekvere;12;18;30;59.0761;26.52
Risti;Risti;21;0;21;59.0801;23.9958
Illuka;Illuka;15;6;21;59.0858;27.7761
Koue;Koue;45;12;57;59.0953;25.3755
Nissi;Nissi;144;12;156;59.1247;24.3219
Kernu;Kernu;126;21;147;59.1369;24.4997
Vinni;Vinni;75;33;108;59.1658;26.6117
Tamsalu;Tamsalu;51;21;72;59.1664;26.1639
Kohila;Kohila;312;39;351;59.1703;24.7305
Ambla;Ambla;42;21;63;59.1917;25.8433
Kose;Kose;243;48;291;59.1925;24.9817
Maetaguse;Maetaguse;18;9;27;59.201;27.3922
Nova;Nova;12;3;15;59.2231;23.6875
Padise;Padise;69;3;72;59.2275;24.0064
Vasalemma;Vasalemma;135;3;138;59.2313;24.2035
Rae;Rae;1224;129;1353;59.2497;25.019
Tapa;Tapa;168;39;207;59.2597;25.9878
Vaivara;Vaivara;12;6;18;59.2731;27.9079
Aegviidu;Aegviidu;39;6;45;59.2903;25.6042
Keila linn;Keila_l;690;84;774;59.3081;24.423
Saue linn;Saue_l;408;48;456;59.3175;24.5703
Ragavere;Ragavere;9;9;18;59.3231;26.6086
Maidla;Maidla;15;6;21;59.3354;27.0206
Rakvere;Rakvere;30;15;45;59.3355;26.3163
Anija;Anija;279;33;312;59.3356;25.3236
Saku;Saku;681;78;759;59.3394;24.6206
Kiili;Kiili;378;51;429;59.3436;24.7767
Kohtla-Nomme;Kohtla-Nomme;18;9;27;59.3481;27.1967
Kadrina;Kadrina;114;30;144;59.3486;26.1403
Saue;Saue;867;96;963;59.3492;24.6083
Rakvere linn;Rakvere_l;315;147;462;59.3492;26.3631
Sonda;Sonda;12;3;15;59.3497;26.8434
Paldiski linn;Paldiski_l;147;9;156;59.3511;24.0689
Kivioli linn;Kivioli_l;57;18;75;59.3544;26.983
Johvi;Johvi;183;99;282;59.3579;27.4144
Pussi linn;Pussi_l;21;6;27;59.3589;27.0356
Raasiku;Raasiku;306;27;333;59.3592;25.0818
Narva linn;Narva_l;495;126;621;59.3808;28.1917
Keila;Keila;306;33;339;59.3825;24.2353
Kohtla;Kohtla;18;6;24;59.3864;27.3289
Sillamae linn;Sillamae_l;144;39;183;59.3986;27.7592
Kohtla-Jarve linn;Kohtla-Jarve_l;465;120;585;59.4014;27.2703
Someru;Someru;69;33;102;59.4069;26.5844
Toila;Toila;42;33;75;59.4147;27.5294
Luganuse;Luganuse;27;3;30;59.4176;27.0177
Haljala;Haljala;54;21;75;59.4242;26.3697
Tallinn;Tallinna_l;38757;3342;42099;59.4372;24.8292
Viru-Nigula;Viru-Nigula;15;9;24;59.4444;26.7642
Maardu linn;Maardu_l;951;39;990;59.4558;24.9458
Aseri;Aseri;21;6;27;59.4564;26.8499
Harku;Harku;1167;126;1293;59.457;24.4292
Narva-Joesuu linn;Narva-Joesuu_l;24;3;27;59.4625;28.0369
Kuusalu;Kuusalu;300;42;342;59.4876;25.6151
Kunda linn;Kunda_l;66;6;72;59.4987;26.5293
Viimsi;Viimsi;1512;222;1734;59.5214;24.849
Joelahtme;Joelahtme;426;36;462;59.5292;25.1644
Vihula;Vihula;48;9;57;59.6006;26.1
